Job Title,Company,Company Rating,Job Snippet,Location,Salary
newEarly Career Software Development Engineer in Test,"Sonos, Inc",3.9,"
The whole team is responsible for designing, developing, testing, delivering, and supporting our features.
Build and expand upon automated frameworks.
","Remote in Boston, MA",Full-time
Machine Learning Engineer,"SRC, Inc.",3.9,"
Coursework in computer vision, machine learning, or neural networks.
Perform data collection and run simulations to create, curate, and label machine learning…
","Herndon, VA+4 locations",Full-time
"newResearch Engineer, TikTok Creation and Consumption",TikTok,3.5,"
Leveraging the full advantage of modern machine learning techniques to build core systems and ML models to solve various creation and consumption-related…
","Seattle, WA+4 locations",N/A
newMachine Learning Data Engineer,Pfizer,4.2,"
2+ years' experience in software design, development, and algorithm-related solutions for production-grade systems using machine learning.
","Groton, CT+1 location",Full-time
Machine Learning Engineer,Dow Jones,3.9,"
Lead machine learning model deployment and production execution.
Research and implement best practices to help develop and enhance machine learning…
","Los Angeles, CA 90006+2 locations",N/A
Machine Learning Engineer/Data Scientist,University of California San Francisco,4.1,"
Advanced knowledge of Data science/machine learning / deep learning / HPC.
In-depth skills and experience in independently resolving complex computing/data…
","San Francisco, CA 94143 (Inner Sunset area)",Full-time
newStaff - Machine Learning Engineer (Capacity Planning),ServiceNow,3.6,"
ServiceNow's Cloud Capacity Planning and Analytics team is an innovative customer-focused team responsible for capacity demand planning, forecasting, cost…
","Kirkland, WA 98033 (Lake View area)+2 locations",Full-time
"Senior Software Engineer, Machine Learning on Mobile",TikTok,3.5,"
4+ years of strong industry experience in machine learning is a plus;
Develop and deploy production-quality machine learning frameworks for mobile devices;
","Mountain View, CA 94041 (Old Mountain View area)+6 locations",N/A
Deep Learning and Machine Learning Software Engineer,MathWorks,4.0,"
Experience in other aspects of machine learning or in statistics.
Participate in activities aimed at improving the team’s expertise in machine learning and…
","Hybrid remote in Natick, MA",N/A
Machine Learning Engineer,Samsung Electronics,4.0,"
Metrology is extremely critical especially as we continue decreasing in device technology node.
Use your troubleshooting capabilities to help establish root…
","Austin, TX 78754",Full-time
Software Engineer - Machine Learning,The Yes,N/A,"
You will be responsible for applying AI, machine learning and data mining techniques to build the next generation shopping experience.
","San Francisco Bay Area, CA",N/A
Cyberspace Engineer - Artificial Intelligence - Machine Lear...,SAIC,4.0,"
The candidate will possess knowledge in Applied Mathematics, to include: statistical analysis, and the methods of AI/ML temporal and pattern analysis,…
",Remote in Virginia,"$125,001 - $150,000 a year"
Machine Learning Engineer - US,MOLOCO,N/A,"
We are seeking exceptional Machine Learning engineers to join us in building a state-of-the-art machine learning system.
","Redwood City, CA 94063 (Middlefield area)+1 location",N/A
"Software Engineer, Machine Learning",Facebook App,4.1,"
Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models.
",+32 locationsRemote,N/A
Machine Learning Engineer,Hive,N/A,"
You have 1-2 years industry machine learning experience.
You have strong experience with a high-level machine learning frameworks such as Tensorflow, Caffe, or…
","San Francisco, CA+2 locations",Full-time
newResearch Engineer,Xerox,3.4,"
Experience in designing and running machine learning experiments.
Design and perform directed experiments in machine learning, knowledge representation and…
","Palo Alto, CA",Full-time
"newResearch Engineer, TikTok Creation and Consumption",TikTok,3.5,"
Leveraging the full advantage of modern machine learning techniques to build core systems and ML models to solve various creation and consumption-related…
","Seattle, WA+4 locations",N/A
"Senior Software Engineer, Perception - Computer Vision/Machi...",Waymo,3.2,"
5+ years of experience with hands-on experience in computer vision and machine learning projects.
M.Sc. or Ph.D. in computer vision, machine learning, or a…
","Mountain View, CA+1 location",N/A
Machine Learning Research Scientist,Duolingo,4.2,"
We are looking for an experienced AI/ML scientist with a track record of delivering products and features based on your work.
","Pittsburgh, PA",N/A
"Lead Research Scientist - Computer Vision, AI, Machine Learn...",BlueHalo,4.3,"
Experience with machine learning or deep learning models.
Familiarity with computer vision and machine learning framework, such as PyTorch, TensorFlow, and…
","Hybrid remote in Rockville, MD+3 locations",Full-time
Principal Machine Learning Engineer (Remote),Clarivate Analytics,3.5,"
Researches and identifies Machine Learning (ML) and Natural Language Processing (NLP) methods and algorithms to solve specific problems to improve user…
","Remote in San Francisco, CA",Full-time
Senior Software Engineer – Machine Learning,Ouva,N/A,"
You will work on a variety of innovative and meaningful projects, from developing vision machine learning algorithms for applications such as patient monitoring…
","Remote in San Francisco, CA",N/A
Machine Learning- Environmental Modeler,Lynker Technologies LLC,4.0,"
Run machine learning tests and experiments.
Develop machine learning applications according to requirements.
Deserving candidates should have strong commitment…
",Remote,Full-time
"Senior Software Engineer, Perception - Computer Vision/Machi...",Waymo,3.2,"
5+ years of experience with hands-on experience in computer vision and machine learning projects.
M.Sc. or Ph.D. in computer vision, machine learning, or a…
","Mountain View, CA+1 location",N/A
newPrincipal Machine Learning Software Engineer,ViaSat,3.7,"
Your daily task includes but now limited to writing scripts to integrate with our system infrastructure, developing code for training and predicting machine…
","Remote in Carlsbad, CA+6 locations",N/A
Platform Engineer - Data Science and Machine Learning,Thrasio,N/A,"
Optimizing compute resources for data science and machine learning models, services and pipelines such as runtime and memory usage.
",+4 locationsRemote,Full-time
Artificial Intelligence / Machine Learning Engineer,LinQuest Corporation,3.5,"
Familiarity in differences of supervised learning vs. unsupervised learning techniques.
Apply machine learning and general computer vision best practices and…
","Dayton, OH 45433+1 location",Full-time
"Software Engineer, Trucking Perception - Computer Vision & M...",Waymo,3.2,"
M.Sc. or Ph.D. in computer vision, machine learning, or a related field.
5+ years of experience with hands-on experience in robotics, computer vision, or…
","Mountain View, CA",N/A
Machine Learning Engineer/Data Scientist,University of California San Francisco,4.1,"
Advanced knowledge of Data science/machine learning / deep learning / HPC.
In-depth skills and experience in independently resolving complex computing/data…
","San Francisco, CA 94143 (Inner Sunset area)",Full-time
newSoftware Developer / Machine Learning Specialist,HP,4.0,"
Designing and developing machine learning and deep learning systems.
Running machine learning tests and experiments.
Train and retrain systems when necessary.
","Spring, TX 77389+2 locations",Full-time
Machine Learning Engineer,AMP - Auto Motive Power,N/A,"
Program Cloud Platform – Support Cloud engineers to create UI and backend software as needed.
This will require working with algorithm, software and hardware…
","Santa Fe Springs, CA",Full-time
